1_grams,Frequency
pick,110
srinath,110
steve,109
arjun,109
imran,109
insists,109
shikhar,109
build,109
car,109
shooters,109
pradesh,109
rockets,109
less,109
cool,109
working,108
lawson,108
seals,108
cincinnati,108
ferrari,108
called,108
mercedes,108
kenya,108
cristiano,108
different,108
pitches,108
sink,108
congratulates,108
suffers,108
mls,108
difficult,108
paul,107
struggle,107
utd,107
regain,107
lewis,107
anirban,107
perth,107
malaysian,107
monday,107
dominate,107
spirit,107
rues,107
csa,106
phelps,106
might,106
girl,106
hall,106
fate,106
defending,106
tiwary,106
services,106
dd,106
leaders,106
defend,106
settle,105
chandigarh,105
ranchi,105
drought,105
hi,105
archery,105
gain,105
heroes,104
kiwi,104
ashok,104
mishra,104
vvs,104
drs,104
boycott,104
reign,104
told,104
britain,104
surprised,103
follow,103
sutil,103
aditi,103
injuries,103
friday,103
flying,103
command,103
assam,103
chairman,103
stint,103
halep,103
demand,102
swansea,102
weather,102
ravi,102
upbeat,102
srh,102
running,102
strength,102
cops,102
ojha,102
fleming,102
azhar,102
contracts,102
fear,102
cap,102
dev,101
andy,101
trial,101
kaif,101
blue,101
duo,101
milkha,101
war,101
code,101
touch,101
jaffer,101
sources,101
marsh,101
arjuna,101
playoffs,100
blasters,100
tons,100
25,100
jose,100
worlds,100
durand,100
struggles,100
shocks,100
tata,100
abhinav,100
sahara,100
cause,100
saff,100
ways,100
secretary,99
earns,99
iran,99
amateur,99
curry,99
nice,99
seniors,99
melbourne,99
greatest,99
ritika,98
room,98
uruguay,98
raises,98
palace,98
sanchez,98
n,98
events,98
bharat,98
ceo,98
jwala,98
parthiv,98
nations,98
sunderland,98
since,97
rwitc,97
bai,97
memorial,97
marseille,97
heart,97
raj,97
black,97
shocked,97
2012,97
every,97
tops,97
finds,97
sl,97
trials,97
shukla,96
names,96
2010,96
guard,96
enjoy,96
far,96
cheteshwar,96
bans,96
resume,96
critics,96
conduct,96
brand,96
mcgrath,96
progress,96
ranieri,96
bows,96
roll,96
jyoti,96
driver,95
spotlight,95
stands,95
morgan,95
snub,95
pakistani,95
business,95
steps,95
weeks,95
mohammad,95
fih,95
bids,95
withdraws,95
problems,95
raptors,95
sponsor,95
celtics,94
think,94
waiting,94
aditya,94
important,94
footballers,94
elected,94
tottenham,94
discuss,94
defender,94
lionel,94
manoj,94
keeper,94
die,94
price,93
expected,93
pacer,93
shami,93
arrows,93
law,93
dynamos,93
comments,93
launches,93
gear,93
led,93
policy,93
netherlands,93
sweden,93
shanghai,93
rose,93
rising,93
curator,93
trying,92
bigger,92
hurdle,92
teen,92
sinks,92
falls,92
cab,92
fletcher,92
stoke,92
kalmadi,92
gerrard,92
sandeep,92
add,92
fame,92
beaten,92
clippers,92
maken,91
revival,91
members,91
needed,91
lauds,91
push,91
amritraj,91
frustrated,91
interest,91
extra,91
rookie,91
ease,91
blues,91
failure,91
potro,91
council,91
deliver,91
yuvi,90
tuesday,90
raonic,90
prasad,90
colts,90
malvika,90
faith,90
inzamam,90
pays,90
scotland,90
picked,90
robin,90
aguero,90
others,90
munich,90
j,90
ct,90
scoring,89
asked,89
sale,89
compete,89
jinx,89
pain,89
looms,89
uthappa,89
iaaf,89
thakur,89
impact,89
ko,89
arrested,89
sponsors,88
competition,88
seeds,88
retires,88
nca,88
21,88
amit,88
dreams,88
usain,88
raise,88
try,88
sack,88
catch,88
hodgson,88
tables,88
failed,87
luis,87
doubt,87
taken,87
canadian,87
mithali,87
40,87
beating,87
rescues,87
proteas,87
seventh,87
muralitharan,87
turning,87
facing,87
army,87
steyn,86
cleared,86
toronto,86
difference,86
sorry,86
stops,86
protest,86
uk,86
sterling,86
denmark,86
visa,86
runners,86
captains,86
possible,85
approach,85
took,85
paid,85
tame,85
stalemate,85
forces,85
attend,85
depleted,85
wgc,85
relief,85
lakers,85
desperate,85
corporate,85
srk,85
knee,84
session,84
house,84
rate,84
ask,84
saves,84
dead,84
rca,84
vikas,84
turf,84
leader,84
wankhede,84
favour,84
story,84
pogba,84
bhuvneshwar,84
adds,84
bookies,84
probables,84
anil,83
karun,83
collated,83
escape,83
mushtaq,83
irani,83
qualifies,83
mulls,83
thailand,83
twitter,82
marquez,82
survive,82
cover,82
bedi,82
abuse,82
beyond,82
hawks,82
edges,82
sights,82
resigns,82
safe,82
slc,82
master,82
brink,82
narsingh,82
stunned,82
bhambri,81
swimming,81
extends,81
alonso,81
june,81
martin,81
nada,81
garcia,81
angry,81
sammy,81
effort,81
knicks,81
result,81
selector,81
preview,81
deny,81
railway,81
bill,80
2020,80
handed,80
nod,80
learnt,80
schumacher,80
speed,80
plea,80
kicks,80
hughes,80
criticism,80
motogp,80
quick,80
completes,80
concern,80
arthur,80
inspired,80
winter,80
sole,80
thanks,80
expect,80
tight,80
sail,79
towards,79
opt,79
split,79
treble,79
front,79
brazilian,79
pollard,79
moments,79
charged,79
polls,79
fights,79
r,79
wasim,79
slump,79
gears,79
jordan,79
latest,79
sakshi,79
eng,79
shots,79
100m,79
pele,79
lodha,79
rested,79
poised,79
wednesday,79
das,79
dismisses,79
saturday,79
buy,79
blank,79
verma,79
changed,78
ten,78
westbrook,78
footballer,78
testing,78
video,78
apologises,78
tokyo,78
broad,78
lorgat,78
wrestler,78
ceremony,78
drawn,78
stumps,78
dinesh,78
ajay,78
firm,78
beach,78
deodhar,77
weekend,77
longer,77
kanpur,77
god,77
mickelson,77
viru,77
shooter,77
election,77
ajinkya,77
found,77
matter,77
debacle,77
transfer,77
