2_grams,Frequency
30 years,15
flight qz8501,15
among top,15
interior minister,15
eight killed,15
pak air,15
strikes pakistan,15
east china,15
mine accident,15
modi xi,15
president trump,15
central african,15
pm visit,15
hit list,15
defense secretary,15
syrian refugees,15
us set,15
president elect,15
row uk,15
24 hours,15
n weapons,15
world first,15
4 years,15
ready talks,15
charged murder,15
thai cave,15
ex isi,15
da vinci,15
us secret,15
seven killed,15
high speed,15
china hold,15
us hold,15
kills 10,15
3 000,15
says wo,15
israel palestine,15
missile tests,15
attack suspect,15
race row,15
chinese official,15
lakshmi mittal,15
carla bruni,15
minister says,15
silk road,15
3 years,15
visit pak,15
25 years,15
us talks,15
uk visa,15
soldier killed,15
would eeply,14
australian police,14
join hands,14
us cities,14
fire china,14
china tells,14
g 8,14
us poll,14
pak man,14
train derails,14
returns home,14
wants us,14
top 10,14
pak forces,14
kanishka probe,14
indian ocean,14
obama meets,14
pm may,14
pakistan minister,14
security personnel,14
10 people,14
two indian,14
injured bomb,14
china opens,14
son law,14
unsc seat,14
us commander,14
boston marathon,14
million aid,14
british parliament,14
10 year,14
n programme,14
anti muslim,14
gordon brown,14
china military,14
presidential debate,14
talks iran,14
5 billion,14
china urges,14
volcano erupts,14
secretary general,14
osama son,14
booker prize,14
pak anti,14
us takes,14
rights group,14
syrian army,14
trade talks,14
may hit,14
pak security,14
civilians killed,14
royal family,14
mona lisa,14
plot kill,14
israel strikes,14
nuclear tests,14
south carolina,14
militant groups,14
1 5,14
paris terror,14
world heart,14
china president,14
3 million,14
ground zero,14
help us,14
jim mattis,14
pakistan government,14
hits japan,14
khaleda zia,14
15 years,14
russia says,14
british queen,14
korea summit,14
death row,14
second term,14
black man,14
us trade,14
earthquake rocks,14
pakistan foreign,14
new rules,14
african republic,14
air france,14
17 killed,14
100 injured,14
quake jolts,14
high school,14
kills three,14
tropical storm,14
new nuclear,14
china quake,14
pak polls,14
pilot killed,14
mid air,14
china jails,14
red alert,14
killed fresh,14
4 million,14
25 killed,14
bomb attacks,14
militants pakistan,14
military chief,14
take action,14
korean president,14
senate confirms,14
nuke talks,14
court adjourns,14
hina rabbani,14
nicolas sarkozy,14
san suu,14
pak defence,14
least 12,14
british airways,14
china talks,14
un resolution,14
man booker,14
strike pakistan,14
gun control,14
resolve kashmir,14
iran sanctions,14
iran nuke,14
new anti,14
pakistan polls,14
ud dawa,14
new video,14
20 injured,14
pak wants,14
envoy us,14
uk parliament,14
deal pak,14
says new,14
expresses concern,14
return pakistan,14
terror safe,14
jeb bush,14
gaza truce,14
heart day,14
led coalition,14
us imposes,14
korea threatens,13
16 killed,13
fight isis,13
anti islam,13
bill gates,13
may killed,13
says trump,13
religious freedom,13
return pak,13
14 dead,13
shooting suspect,13
10 yrs,13
talks pakistan,13
migrants rescued,13
4 dead,13
calls us,13
mh17 crash,13
new jersey,13
ferry disaster,13
pakistan president,13
human trafficking,13
says bush,13
nuclear arms,13
saddam hussein,13
iran president,13
warns north,13
israel hamas,13
says iran,13
hindu temple,13
makes first,13
injured china,13
aid worker,13
korea talks,13
trump immigration,13
ties pak,13
malala yousafzai,13
ex wife,13
arrested pakistan,13
us university,13
us drones,13
russia china,13
presidential bid,13
1 2,13
chemical plant,13
bernie sanders,13
trump rally,13
tv channel,13
chinese police,13
syria ceasefire,13
warns russia,13
regime change,13
us denies,13
london attack,13
kills 6,13
qaida taliban,13
cia director,13
one year,13
syria talks,13
east coast,13
flight mh370,13
pro democracy,13
drug lord,13
un warns,13
princess diana,13
pakistan supreme,13
qaida chief,13
coast guard,13
dead pakistan,13
ltte militants,13
india israel,13
un calls,13
pak must,13
gunman kills,13
kong protesters,13
terrorist groups,13
afghanistan pakistan,13
says russia,13
killing indian,13
gas leak,13
dead us,13
test site,13
philippine president,13
mark zuckerberg,13
trump signs,13
6 dead,13
top priority,13
says uk,13
un probe,13
nuclear reactors,13
police station,13
us soldiers,13
sierra leone,13
non proliferation,13
bus accident,13
new book,13
obama asks,13
china help,13
mumbai blasts,13
hits back,13
china taiwan,13
fight terrorism,13
n power,13
us warship,13
top aide,13
run us,13
kill 10,13
hi tech,13
disputed south,13
crash site,13
000 pounds,13
nepal parties,13
birth anniversary,13
back us,13
9 year,13
new orleans,13
orders probe,13
korea threat,13
korea test,13
pak foreign,13
korea slams,13
says may,13
pak arrests,13
sale f,13
000 migrants,13
lankan army,13
killed bus,13
russian president,13
china asks,13
war india,13
spy plane,13
state rex,13
us concerned,13
lahore attack,13
army says,13
12 years,13
pakistan economic,13
terror strikes,13
aung san,13
chemical attack,13
rabbani khar,13
honour killing,12
15 000,12
pakistani man,12
pak set,12
uk school,12
across us,12
obama urges,12
abu dhabi,12
take part,12
oxford dictionary,12
blasts rock,12
india japan,12
chief urges,12
back pak,12
ex pak,12
sikh man,12
face trial,12
defence system,12
nelson mandela,12
russian military,12
china rejects,12
19 killed,12
made china,12
two years,12
indian embassy,12
rocket launch,12
rights activist,12
black box,12
least 10,12
emergency meeting,12
warns iran,12
blasts kill,12
pak rejects,12
trump campaign,12
us congressman,12
geo tv,12
canadian pm,12
pak test,12
would angerous,12
live tv,12
state claims,12
kills 18,12
military drills,12
discuss north,12
stirs row,12
set fire,12
indian high,12
justin trudeau,12
police detain,12
pakistan election,12
china reports,12
sonia gandhi,12
new uk,12
gas attack,12
california shooting,12
pentagon chief,12
sanctions russia,12
south asian,12
pakistan afghanistan,12
political party,12
new government,12
terrorist state,12
world biggest,12
immigration reform,12
jong nam,12
airport attack,12
oil spill,12
second day,12
appear court,12
us pressure,12
us supports,12
world aids,12
pakistan must,12
air crash,12
new govt,12
political crisis,12
counter terrorism,12
money laundering,12
vows fight,12
government shutdown,12
us journalist,12
russia ukraine,12
fires ballistic,12
us eu,12
held hostage,12
sharif return,12
ex spy,12
obama us,12
top cop,12
unveils new,12
long range,12
earthquake rattles,12
says pm,12
opens fire,12
one child,12
doctor helped,12
missing malaysian,12
hits china,12
house passes,12
salman rushdie,12
putin trump,12
muslim woman,12
us still,12
president zardari,12
thousands march,12
britain prince,12
injured pak,12
syria iraq,12
china holds,12
buckingham palace,12
tsunami warning,12
solomon islands,12
death threats,12
house representatives,12
preet bharara,12
china sends,12
death us,12
china ties,12
defence ties,12
jfk airport,12
rights violations,12
policemen killed,12
un peacekeepers,12
trump summit,12
former pak,12
korea nuke,12
southern california,12
us attorney,12
killed karachi,12
us shooting,12
mexico city,12
china offers,12
un urges,12
hunger strike,12
visit pakistan,12
2 days,12
global warming,12
meet dalai,12
terror group,12
warns china,12
six dead,12
saudi women,12
pak officials,12
us iraq,12
mike pence,12
gives birth,12
unsc bid,12
eu referendum,12
strike us,12
syrian town,12
us wo,12
air raids,12
korea sanctions,12
aids day,12
kills six,12
india russia,12
bombers kill,12
40 000,12
pakistan nukes,12
pak origin,12
london mayor,12
leader killed,12
australia pm,12
us allies,12
says hillary,12
suicide attacks,12
pak offers,12
trump tells,12
terror funding,12
car crash,12
row china,12
diana death,12
killed 20,12
flood victims,12
envoy pakistan,12
ban indian,12
new leader,12
talks n,12
prez race,12
kills 14,12
russia sanctions,12
special envoy,12
status india,12
china communist,12
relations india,12
killed israeli,12
obama takes,12
years ago,12
3 dead,12
china denies,12
talks china,12
james mattis,12
first female,12
train station,11
nuclear bomb,11
11 dead,11
lion air,11
kate middleton,11
election results,11
world powers,11
takes oath,11
china border,11
us lifts,11
martial law,11
magnitude 5,11
helicopter crashes,11
pak war,11
raul castro,11
killed afghanistan,11
bhutto sharif,11
us town,11
latin america,11
kills 20,11
100 million,11
india asks,11
israeli air,11
us tv,11
man us,11
us move,11
humanitarian aid,11
personnel killed,11
us stop,11
flights cancelled,11
pak suicide,11
abuse victims,11
strikes iraq,11
6 4,11
new delhi,11
ivory coast,11
taliban fighters,11
back home,11
killed nepal,11
40 years,11
china confirms,11
biggest ever,11
puerto rico,11
quake toll,11
general election,11
military exercise,11
tests new,11
rights abuses,11
southwest pakistan,11
world tallest,11
iraq report,11
new visa,11
million pounds,11
nepal army,11
blasts pakistan,11
arms deal,11
strong 6,11
tribal region,11
china backs,11
n talks,11
syria air,11
dies aged,11
wikileaks founder,11
mfn status,11
attack iran,11
terror outfits,11
rocket attack,11
china cracks,11
indian woman,11
30 killed,11
missile launch,11
trump new,11
trump clinton,11
crisis deepens,11
us approves,11
70 years,11
gets death,11
us flight,11
bombing kills,11
22 killed,11
muslim brotherhood,11
pak asks,11
sharif may,11
trade pact,11
india nsg,11
israel pm,11
30 000,11
magnitude 7,11
child policy,11
hit us,11
foreign students,11
british hostage,11
court says,11
terror links,11
peace plan,11
karachi airport,11
nerve agent,11
trade ties,11
border terror,11
3 year,11
us varsity,11
uk top,11
ukraine crisis,11
us europe,11
us working,11
korea president,11
jade goody,11
japan us,11
dominican republic,11
may meet,11
terror outfit,11
israeli troops,11
surprise visit,11
bush visit,11
sea island,11
7 dead,11
indian doctor,11
take back,11
indian doc,11
ahead polls,11
flood hit,11
house panel,11
13 people,11
world heritage,11
us war,11
pak iran,11
introduced us,11
disputed islands,11
black sea,11
4 year,11
militants pak,11
pervez ashraf,11
strategic ties,11
indian firms,11
india gilani,11
spy chief,11
gets ready,11
airlines flight,11
blasphemy law,11
several injured,11
pak opposition,11
foreign workers,11
50 injured,11
pakistan test,11
us rules,11
china must,11
kills 21,11
state dept,11
us support,11
clinton emails,11
taliban killed,11
work together,11
man killed,11
modi visit,11
hebdo attack,11
trump threatens,11
short range,11
sex marriage,11
detained china,11
kills 19,11
trump may,11
paris climate,11
us city,11
qatar crisis,11
court sentences,11
un staff,11
kills seven,11
pranab mukherjee,11
word year,11
5 years,11
may take,11
iraqi pm,11
obama signs,11
china ready,11
ex fbi,11
east asia,11
us national,11
china detains,11
world longest,11
asks china,11
killed 12,11
red cross,11
us airport,11
us experts,11
trump son,11
pm shinzo,11
pakistan bans,11
declares emergency,11
pakistan kills,11
approval rating,11
british prime,11
tayyip erdogan,11
us think,11
action iran,11
injured pakistan,11
brexit deal,11
talks tough,11
60 000,11
trade deal,11
deal iran,11
use force,11
osama raid,11
quake rattles,11
boston bombing,11
talks north,11
years us,11
pm narendra,11
india afghanistan,11
bombing suspect,11
war ii,11
fight islamic,11
n test,11
pm yingluck,11
pope says,10
two weeks,10
day visit,10
labour party,10
case us,10
pak soldiers,10
tamil tigers,10
anti govt,10
pak national,10
ukraine rebels,10
6 000,10
public appearance,10
cameron says,10
anti war,10
moderate quake,10
india nuclear,10
gandhi statue,10
tribal area,10
woman killed,10
aid us,10
would eath,10
says ready,10
kills 11,10
iraq syria,10
us strikes,10
ebola outbreak,10
aid india,10
yrs jail,10
leaders meet,10
republican party,10
fast track,10
pakistani media,10
killed suspected,10
jets pakistan,10
chinese daily,10
china slams,10
denies role,10
ppp pml,10
us polls,10
blames india,10
